image_path,dataset,split,folder,role,extension,width,height,mode,format,status,error
Datasets/CD&S/dataset annotated/train/gls/gls_1.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_103.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_104.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_105.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_109.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_110.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_111.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_115.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_116.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_117.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_121.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_122.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_123.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_127.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_128.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_129.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_13.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_133.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_134.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_135.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_139.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_14.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
Datasets/CD&S/dataset annotated/train/gls/gls_140.jpg,CD&S,train,CD&S/dataset annotated/train/gls,image_or_representation,.jpg,3024,3024,RGB,JPEG,ok,
