path,label
Datasets/casava/Cassava___brown_streak_disease/2234665752.jpg,Cassava___brown_streak_disease
Datasets/casava/Cassava___mosaic_disease/748154559.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___brown_streak_disease/1912329791.jpg,Cassava___brown_streak_disease
Datasets/casava/Cassava___brown_streak_disease/1135510790.jpg,Cassava___brown_streak_disease
Datasets/casava/Cassava___mosaic_disease/1354594669.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___bacterial_blight/4117744697.jpg,Cassava___bacterial_blight
Datasets/casava/Cassava___mosaic_disease/3955972139.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/3865132472.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/2029193021.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/673931298.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/2078371784.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/2271327090.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___green_mottle/2577741887.jpg,Cassava___green_mottle
Datasets/casava/Cassava___green_mottle/1004826518.jpg,Cassava___green_mottle
Datasets/casava/Cassava___mosaic_disease/365063197.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/3068359463.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___healthy/4146003606.jpg,Cassava___healthy
Datasets/casava/Cassava___mosaic_disease/182745375.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/2832882740.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___bacterial_blight/3749019108.jpg,Cassava___bacterial_blight
Datasets/casava/Cassava___mosaic_disease/2776899438.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/2123430239.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/4265846658.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/3649128911.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/3918409158.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/2393699847.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/3218002548.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/3502675900.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___mosaic_disease/1378105752.jpg,Cassava___mosaic_disease
Datasets/casava/Cassava___healthy/2391557874.jpg,Cassava___healthy
Datasets/casava/Cassava___brown_streak_disease/4233882902.jpg,Cassava___brown_streak_disease
