sample_id,group,label,plant,experiment,rgb_path,vnir_path,vnir_800nm_path,vnir_1000nm_path
H_11_0_1,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_1.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_1.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_1.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_1.png
H_11_0_10,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_10.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_10.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_10.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_10.png
H_11_0_11,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_11.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_11.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_11.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_11.png
H_11_0_12,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_12.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_12.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_12.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_12.png
H_11_0_13,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_13.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_13.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_13.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_13.png
H_11_0_14,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_14.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_14.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_14.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_14.png
H_11_0_15,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_15.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_15.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_15.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_15.png
H_11_0_16,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_16.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_16.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_16.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_16.png
H_11_0_17,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_17.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_17.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_17.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_17.png
H_11_0_18,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_18.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_18.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_18.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_18.png
H_11_0_19,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_19.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_19.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_19.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_19.png
H_11_0_2,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_2.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_2.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_2.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_2.png
H_11_0_20,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_20.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_20.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_20.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_20.png
H_11_0_21,Pepper\II\Healthy,Healthy,Pepper,II,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_11_RGB_0_21.tiff,Datasets/TOBRFV-LMID/VNIR/Pepper/II/Healthy/H_11_VNIR_0_21.png,Datasets/TOBRFV-LMID/VNIR_800nm/Pepper/II/Healthy/H_11_VNIR_800nm_0_21.png,Datasets/TOBRFV-LMID/VNIR_1000nm/Pepper/II/Healthy/H_11_VNIR_1000nm_0_21.png
