split,group,plant_type,sequence_id,identifier,capture,frame,rgb_path
train,Pepper\II\Healthy,Healthy,H_25,25,0,1,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_1.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,10,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_10.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,11,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_11.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,12,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_12.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,13,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_13.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,14,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_14.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,15,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_15.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,16,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_16.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,17,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_17.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,18,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_18.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,19,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_19.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,2,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_2.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,20,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_20.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,21,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_21.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,22,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_22.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,23,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_23.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,24,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_24.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,25,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_25.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,26,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_26.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,27,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_27.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,28,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_28.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,29,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_29.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,3,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_3.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,30,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_30.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,31,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_31.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,32,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_32.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,33,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_33.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,34,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_34.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,35,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_35.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,36,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_36.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,37,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_37.tiff
train,Pepper\II\Healthy,Healthy,H_25,25,0,38,Datasets/TOBRFV-LMID/RGB/Pepper/II/Healthy/H_25_RGB_0_38.tiff
