true_class,predicted_class,count,true_class_support,fraction_of_true_class,fraction_of_all_errors
Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,20,147,0.1360544217687075,0.14492753623188406
Tomato___Early_blight,Tomato___Late_blight,15,150,0.1,0.10869565217391304
Tomato___Target_Spot,Tomato___healthy,10,211,0.04739336492890995,0.07246376811594203
Grape___Esca_(Black_Measles),Grape___Black_rot,9,207,0.043478260869565216,0.06521739130434782
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,8,252,0.031746031746031744,0.057971014492753624
Tomato___Early_blight,Tomato___Target_Spot,7,150,0.04666666666666667,0.050724637681159424
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___healthy,4,252,0.015873015873015872,0.028985507246376812
Peach___healthy,Peach___Bacterial_spot,3,54,0.05555555555555555,0.021739130434782608
Tomato___Early_blight,Tomato___Bacterial_spot,3,150,0.02,0.021739130434782608
Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,3,143,0.02097902097902098,0.021739130434782608
Tomato___Leaf_Mold,Tomato___Spider_mites Two-spotted_spider_mite,3,143,0.02097902097902098,0.021739130434782608
Apple___healthy,Blueberry___healthy,2,246,0.008130081300813009,0.014492753623188406
"Pepper,_bell___healthy",Blueberry___healthy,2,222,0.009009009009009009,0.014492753623188406
Soybean___healthy,Apple___healthy,2,764,0.002617801047120419,0.014492753623188406
Soybean___healthy,Potato___healthy,2,764,0.002617801047120419,0.014492753623188406
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,319,0.006269592476489028,0.014492753623188406
Tomato___Early_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus,2,150,0.013333333333333334,0.014492753623188406
Tomato___Late_blight,Potato___Late_blight,2,287,0.006968641114982578,0.014492753623188406
Tomato___Late_blight,Tomato___Early_blight,2,287,0.006968641114982578,0.014492753623188406
Tomato___Leaf_Mold,Tomato___Late_blight,2,143,0.013986013986013986,0.014492753623188406
Tomato___Leaf_Mold,Tomato___Target_Spot,2,143,0.013986013986013986,0.014492753623188406
Tomato___Septoria_leaf_spot,Tomato___Target_Spot,2,265,0.007547169811320755,0.014492753623188406
Tomato___Target_Spot,Tomato___Septoria_leaf_spot,2,211,0.009478672985781991,0.014492753623188406
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Raspberry___healthy,2,803,0.0024906600249066002,0.014492753623188406
Apple___Apple_scab,Apple___Black_rot,1,94,0.010638297872340425,0.007246376811594203
Apple___healthy,Peach___healthy,1,246,0.0040650406504065045,0.007246376811594203
Blueberry___healthy,Tomato___Late_blight,1,226,0.004424778761061947,0.007246376811594203
Cherry_(including_sour)___healthy,Apple___healthy,1,128,0.0078125,0.007246376811594203
Cherry_(including_sour)___healthy,Soybean___healthy,1,128,0.0078125,0.007246376811594203
Cherry_(including_sour)___healthy,Strawberry___Leaf_scorch,1,128,0.0078125,0.007246376811594203
Grape___Esca_(Black_Measles),Strawberry___Leaf_scorch,1,207,0.004830917874396135,0.007246376811594203
Orange___Haunglongbing_(Citrus_greening),Blueberry___healthy,1,826,0.0012106537530266344,0.007246376811594203
"Pepper,_bell___Bacterial_spot",Blueberry___healthy,1,150,0.006666666666666667,0.007246376811594203
"Pepper,_bell___healthy",Tomato___healthy,1,222,0.0045045045045045045,0.007246376811594203
Soybean___healthy,Corn_(maize)___healthy,1,764,0.0013089005235602095,0.007246376811594203
Soybean___healthy,"Pepper,_bell___healthy",1,764,0.0013089005235602095,0.007246376811594203
Tomato___Bacterial_spot,Peach___Bacterial_spot,1,319,0.003134796238244514,0.007246376811594203
Tomato___Early_blight,Potato___Late_blight,1,150,0.006666666666666667,0.007246376811594203
Tomato___Late_blight,Potato___Early_blight,1,287,0.003484320557491289,0.007246376811594203
Tomato___Late_blight,Tomato___Bacterial_spot,1,287,0.003484320557491289,0.007246376811594203
Tomato___Late_blight,Tomato___Target_Spot,1,287,0.003484320557491289,0.007246376811594203
Tomato___Late_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1,287,0.003484320557491289,0.007246376811594203
Tomato___Late_blight,Tomato___healthy,1,287,0.003484320557491289,0.007246376811594203
Tomato___Leaf_Mold,Apple___healthy,1,143,0.006993006993006993,0.007246376811594203
Tomato___Septoria_leaf_spot,Tomato___Bacterial_spot,1,265,0.0037735849056603774,0.007246376811594203
Tomato___Septoria_leaf_spot,Tomato___Early_blight,1,265,0.0037735849056603774,0.007246376811594203
Tomato___Septoria_leaf_spot,Tomato___Late_blight,1,265,0.0037735849056603774,0.007246376811594203
Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,1,211,0.004739336492890996,0.007246376811594203
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Spider_mites Two-spotted_spider_mite,1,803,0.0012453300124533001,0.007246376811594203
Tomato___Tomato_mosaic_virus,Raspberry___healthy,1,56,0.017857142857142856,0.007246376811594203
Tomato___healthy,Tomato___Late_blight,1,239,0.0041841004184100415,0.007246376811594203
