class_index,class,precision,recall,f1,support,predicted_count,true_positive,false_positive,false_negative
0,Apple___Apple_scab,1.0,0.9893617021276596,0.9946524064171123,94,93,93,0,1
1,Apple___Black_rot,0.9893617021276596,1.0,0.9946524064171123,93,94,93,1,0
2,Apple___Cedar_apple_rust,1.0,1.0,1.0,41,41,41,0,0
3,Apple___healthy,0.9838056680161943,0.9878048780487805,0.9858012170385395,246,247,243,4,3
4,Blueberry___healthy,0.974025974025974,0.995575221238938,0.9846827133479212,226,231,225,6,1
5,Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,158,158,158,0,0
6,Cherry_(including_sour)___healthy,1.0,0.9765625,0.9881422924901185,128,125,125,0,3
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7938144329896907,1.0,0.8850574712643678,77,97,77,20,0
8,Corn_(maize)___Common_rust_,1.0,1.0,1.0,179,179,179,0,0
9,Corn_(maize)___Northern_Leaf_Blight,1.0,0.8639455782312925,0.927007299270073,147,127,127,0,20
10,Corn_(maize)___healthy,0.9942857142857143,1.0,0.997134670487106,174,175,174,1,0
11,Grape___Black_rot,0.9516129032258065,1.0,0.9752066115702479,177,186,177,9,0
12,Grape___Esca_(Black_Measles),1.0,0.9516908212560387,0.9752475247524752,207,197,197,0,10
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,162,162,162,0,0
14,Grape___healthy,1.0,1.0,1.0,64,64,64,0,0
15,Orange___Haunglongbing_(Citrus_greening),1.0,0.9987893462469734,0.9993943064809206,826,825,825,0,1
16,Peach___Bacterial_spot,0.9885057471264368,1.0,0.9942196531791907,344,348,344,4,0
17,Peach___healthy,0.9807692307692307,0.9444444444444444,0.9622641509433962,54,52,51,1,3
18,"Pepper,_bell___Bacterial_spot",1.0,0.9933333333333333,0.9966555183946488,150,149,149,0,1
19,"Pepper,_bell___healthy",0.9954545454545455,0.9864864864864865,0.9909502262443439,222,220,219,1,3
20,Potato___Early_blight,0.9933774834437086,1.0,0.9966777408637874,150,151,150,1,0
21,Potato___Late_blight,0.9803921568627451,1.0,0.9900990099009901,150,153,150,3,0
22,Potato___healthy,0.92,1.0,0.9583333333333334,23,25,23,2,0
23,Raspberry___healthy,0.9482758620689655,1.0,0.9734513274336283,55,58,55,3,0
24,Soybean___healthy,0.9986824769433466,0.9921465968586387,0.9954038082731451,764,759,758,1,6
25,Squash___Powdery_mildew,1.0,1.0,1.0,275,275,275,0,0
26,Strawberry___Leaf_scorch,0.9881656804733728,1.0,0.9940476190476191,167,169,167,2,0
27,Strawberry___healthy,1.0,1.0,1.0,68,68,68,0,0
28,Tomato___Bacterial_spot,0.9844236760124611,0.9905956112852664,0.9875,319,321,316,5,3
29,Tomato___Early_blight,0.976,0.8133333333333334,0.8872727272727273,150,125,122,3,28
30,Tomato___Late_blight,0.9328859060402684,0.9686411149825784,0.9504273504273504,287,298,278,20,9
31,Tomato___Leaf_Mold,1.0,0.9230769230769231,0.96,143,132,132,0,11
32,Tomato___Septoria_leaf_spot,0.9811320754716981,0.9811320754716981,0.9811320754716981,265,265,260,5,5
33,Tomato___Spider_mites Two-spotted_spider_mite,0.9795918367346939,0.9523809523809523,0.96579476861167,252,245,240,5,12
34,Tomato___Target_Spot,0.908256880733945,0.9383886255924171,0.9230769230769231,211,218,198,20,13
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9937888198757764,0.9962640099626401,0.9950248756218906,803,805,800,5,3
36,Tomato___Tomato_mosaic_virus,1.0,0.9821428571428571,0.990990990990991,56,55,55,0,1
37,Tomato___healthy,0.937007874015748,0.99581589958159,0.9655172413793104,239,254,238,16,1
